DApp Name,Inconsistency Type
Balance Network,Changeable DApp Status
DogeBets,Changeable DApp Status
BNB Casino,Changeable DApp Status
BRN Metaverse,Changeable DApp Status
PunkPanda,Unconstrained Token Supply
Milkyway,Unconstrained Token Supply
Dinosaur Eggs,Unconstrained Token Supply
Solar Techno Alliance,Unconstrained Token Supply
Splinterlands,Unconstrained Token Supply
Retro DeFi,Unconstrained Token Supply
Satozhi,Unconstrained Token Supply
Cryptoz Volatile NFT Accessibility,Unconstrained Token Supply
Cryptoz Volatile NFT Accessibility,Volatile NFT Accessibility
BNBTiger,Adjustable Liquidity
Redluna,Adjustable Liquidity
Planet9,Adjustable Liquidity
baby bnb tiger,Adjustable Liquidity
BNB Ultra,Hidden Fee
Libera Financial,Hidden Fee
Avarice,Hidden Fee
Reward Capital,Hidden Fee
MetaRevo,Hidden Fee
CAKE OF FORTUNE,Hidden Fee
F&F MinerRace,Hidden Fee
Miracle BUSD Gems ROI Miner,Hidden Fee
CROBeansMiner,Hidden Fee
The BNB Crops Farmer,Hidden Fee
Matrix Pro,Hidden Fee
Staker Cafe,Hidden Fee
BNBeats,Hidden Fee
TrueFund,Hidden Fee
BNB Daily Finance,Hidden Fee
Polygon Matic Miner,Hidden Fee
Block Rewards,Hidden Fee
AI Trader,Hidden Fee
Wizardly,Hidden Fee
Gold Grinder 2.0,Hidden Fee
BNB Pirates,Hidden Fee
Libera Financial,Unclaimed Fund Flow
FinToCh BNB,Unclaimed Fund Flow
Yeetoshi Minter Machina,Unclaimed Fund Flow
MetaRevo,Unclaimed Fund Flow
FORSAGE Official,Unclaimed Fund Flow
DogeBets,Unclaimed Fund Flow
Matrix Pro,Unclaimed Fund Flow
Floki CEO,Unclaimed Fund Flow
Redluna,Unclaimed Fund Flow
BNB Daily Finance,Unclaimed Fund Flow
BRN Metaverse,Unclaimed Fund Flow
Cryptoz Volatile NFT Accessibility,Unclaimed Fund Flow
BNB Ultra,Unguaranteed Reward
FinToCh BNB,Unguaranteed Reward
Baked Onions MATIC,Unguaranteed Reward
BUSD miner,Unguaranteed Reward
CAKE OF FORTUNE,Unguaranteed Reward
F&F MinerRace,Unguaranteed Reward
Miracle BUSD Gems ROI Miner,Unguaranteed Reward
CROBeansMiner,Unguaranteed Reward
The BNB Crops Farmer,Unguaranteed Reward
Staker Cafe,Unguaranteed Reward
BNBeats,Unguaranteed Reward
Bean Machine,Unguaranteed Reward
Polygon Matic Miner,Unguaranteed Reward
Block Rewards,Unguaranteed Reward
Wizardly,Unguaranteed Reward
Cromatoes Greenhouse Ponzi,Unguaranteed Reward
Gold Grinder 2.0,Unguaranteed Reward
BNB Pirates,Unguaranteed Reward
Grinch Bucks,Unguaranteed Reward
