DApp,Type,Status (0 means inaccessible),Label,,,,,,,,,,
777,UFF,1,highrisk,,,,,,,,,,
Apocalyptic Apes,UFF,1,,,,,,,,,,,
Arbidex,UFF,1,,,,,,,,,,,
ASM AIFA Genesis,UFF,1,,,,,,,,,,,
Baby Doge Coin,UFF,1,,,,,,,,,,,
Baby Doge Swap,UFF,1,,,,,,,,,,,
Battle Racers,UFF,1,,,,,,,,,,,
BNB IOU,UFF,0,highrisk,,,,,,,,,,
BNBPlus,UFF,0,highrisk,,,,,,,,,,
BooBank,UFF,0,,,,,,,,,,,
BYOLAND,UFF,1,,,,,,,,,,,
Chicken Finance,UFF,1,,,,,,,,,,,
Cryptic Conjure,UFF,1,,,,,,,,,,,
Crypto Barons,UFF,1,,,,,,,,,,,
Crypto.Chicks,UFF,1,,,,,,,,,,,
CryptoFights,UFF,1,,,,,,,,,,,
CryptoMibs,UFF,1,,,,,,,,,,,
Cryptoships,UFF,1,,,,,,,,,,,
Cubfinance,UFF,1,,,,,,,,,,,
Dfyn Network,UFF,1,,,,,,,,,,,
DIByield,UFF,0,highrisk,,,,,,,,,,
Drakons,UFF,1,,,,,,,,,,,
Ether Shrimp Farm,UFF,1,highrisk,,,,,,,,,,
Farsite,UFF,1,,,,,,,,,,,
FOMO MOFOS,UFF,1,,,,,,,,,,,
Forgotten Runes,UFF,1,,,,,,,,,,,
Gene A.I.dols,UFF,1,,,,,,,,,,,
Gray Boys,UFF,0,,,,,,,,,,,
Gutter Rats,UFF,1,,,,,,,,,,,
HunnySwap,UFF,1,,,,,,,,,,,
Kaiju Kingz,UFF,1,,,,,,,,,,,
KeeperDAO,UFF,1,,,,,,,,,,,
Knight Story,UFF,1,,,,,,,,,,,
Lil Pudgys,UFF,1,,,,,,,,,,,
Little Lemon Friends,UFF,1,,,,,,,,,,,
Lonely Alien Space Club,UFF,1,,,,,,,,,,,
Matic Sheep Farmer,UFF,0,highrisk,,,,,,,,,,
MaticBetsMaster,UFF,0,highrisk,,,,,,,,,,
Mdex,UFF,0,,,,,,,,,,,
Metroverse,UFF,1,,,,,,,,,,,
Metroverse Blackout,UFF,1,,,,,,,,,,,
miniShibaToken,UFF,0,highrisk,,,,,,,,,,
My Shiba Inu,UFF,0,highrisk,,,,,,,,,,
Nuclear Nerds V2,UFF,1,,,,,,,,,,,
PancakeSwap V3,UFF,1,,,,,,,,,,,
Party Degenerates,UFF,1,,,,,,,,,,,
PieDAO,UFF,1,,,,,,,,,,,
